sample_index,mean_trace,std_trace
438,0.37990507,0.0043977993
439,0.14563511,0.003573621
440,-0.271277,0.0037472444
441,-0.010247364,0.003511919
442,0.397652,0.0041028783
443,0.15497755,0.003913951
444,-0.25332204,0.0039649038
445,-0.004354248,0.0037331034
446,0.39852425,0.004127981
447,0.15566616,0.0036259564
448,-0.27567223,0.0037316454
449,-0.0160813,0.0034954275
450,0.39136562,0.0040231813
451,0.14969805,0.003627825
452,-0.27930513,0.0038427208
453,-0.019696094,0.0034576554
454,0.3883342,0.0041819545
455,0.14600015,0.003775903
456,-0.29743457,0.0038944052
457,-0.032412596,0.00376371
458,0.3789917,0.0042134603
459,0.13908252,0.0035293212
460,-0.29107514,0.0039398
461,-0.029307764,0.0036243724
462,0.3796416,0.004244562
463,0.13817309,0.003506885
464,-0.31833878,0.003814801
465,-0.22806646,0.005031973
466,0.25526828,0.004267844
467,0.06387109,0.0038674483
468,-0.327171,0.00384706
469,-0.049365185,0.0038697044
470,0.36734948,0.0042328937
471,0.13041279,0.0035663743
472,-0.28391826,0.0036067474
473,-0.025940284,0.0034784887
474,0.3807136,0.0039982656
475,0.13746168,0.0035320166
476,-0.29284355,0.004152272
477,-0.036677685,0.003477197
478,0.3732002,0.0043440666
479,0.13297783,0.0037104671
480,-0.27830547,0.0036045022
481,-0.022758398,0.0035918488
482,0.38218388,0.004450378
483,0.13804385,0.0036156578
484,-0.2841913,0.003789763
485,-0.027869336,0.0034731128
486,0.3772564,0.004245961
487,0.13380064,0.003714727
488,-0.29287842,0.0038547106
489,-0.03413613,0.0037164213
490,0.37073335,0.0041174702
491,0.12875707,0.003745018
492,-0.30012897,0.003853718
493,-0.040420458,0.0036467568
494,0.36746353,0.0039669443
495,0.12571645,0.0037262598
496,-0.30948174,0.0037544207
497,-0.046963084,0.0035570192
498,0.36321488,0.0040200935
499,0.12233872,0.0036045206
500,-0.29525167,0.0039610616
501,-0.03796494,0.0035209528
502,0.36806363,0.004017454
503,0.12447925,0.0033744334
504,-0.32347944,0.0036985625
505,-0.22869444,0.0061501577
506,0.24852681,0.0045316243
507,0.053351708,0.0036232073
508,-0.33375248,0.0038185902
509,-0.05985537,0.0034589875
510,0.35482574,0.0040498585
511,0.11671953,0.0035816827
512,-0.31548017,0.004042731
513,-0.051463526,0.0033853832
514,0.35892904,0.0042790873
515,0.118563816,0.0037013136
516,-0.35591817,0.0041118846
517,-0.25723886,0.005305685
518,0.2339977,0.004652973
519,0.046742674,0.0041833865
520,-0.37905982,0.003965091
521,-0.26464057,0.0062828464
522,0.23143941,0.005104547
523,0.047503565,0.0041031386
524,-0.3887686,0.0040765572
525,-0.27527833,0.006002947
526,0.22906065,0.0048528863
527,0.049389306,0.0037827073
528,-0.34276548,0.004060049
529,-0.057692237,0.0037189475
530,0.36398253,0.0041883304
531,0.1294164,0.0037562673
532,-0.27752435,0.003855266
533,-0.019619677,0.0035265554
534,0.38662457,0.0042282897
535,0.14263618,0.0036032877
536,-0.27662823,0.0040375814
537,-0.024387207,0.0033805603
538,0.3808518,0.0042982316
539,0.13958839,0.004003128
540,-0.2857229,0.0039864588
541,-0.026509425,0.0035562592
542,0.37997603,0.0041465806
543,0.13791187,0.0037207245
544,-0.28580248,0.0036947525
545,-0.028231446,0.0033205384
546,0.37772968,0.0040784637
547,0.13490279,0.00363626
548,-0.29924926,0.0036906993
549,-0.037783056,0.003485394
550,0.37133852,0.004011973
551,0.12984683,0.0035686274
552,-0.2853337,0.004011509
553,-0.029544337,0.0036132634
554,0.3754688,0.0043088607
555,0.13137706,0.0039089774
556,-0.31709492,0.003988085
557,-0.22369277,0.0056028874
558,0.25404164,0.0046914234
559,0.05871333,0.0037722015
560,-0.32893246,0.0038771208
561,-0.054970946,0.0033263136
562,0.35956478,0.0041737547
563,0.12161387,0.0036204194
564,-0.309867,0.0037476367
565,-0.046253614,0.0033721663
566,0.3639466,0.0042779366
567,0.123340085,0.0035658665
568,-0.3516783,0.003820593
569,-0.2526102,0.0045771794
570,0.23854716,0.0044669155
571,0.050889745,0.004001178
572,-0.37533516,0.0040087607
573,-0.2604754,0.004867075
574,0.23492754,0.0046219258
575,0.051644288,0.0039566513
576,-0.3848268,0.004047091
577,-0.27076396,0.005009698
578,0.23305869,0.004357851
579,0.05336123,0.0038743045
580,-0.3401497,0.004116845
581,-0.05481411,0.00378941
582,0.36668253,0.0041842493
583,0.1324751,0.0036264765
584,-0.27470133,0.0039499234
585,-0.016569335,0.0035669762
586,0.3896368,0.0040412336
587,0.14557783,0.0038681037
588,-0.2741947,0.003900151
589,-0.021690039,0.003530479
590,0.38361397,0.0042306506
591,0.14242657,0.0034492535
592,-0.2833994,0.0040064016
593,-0.02399785,0.003339918
594,0.38248155,0.0039972155
595,0.14042525,0.0034845755
596,-0.28364787,0.0038891912
597,-0.025871484,0.0035425618
598,0.38030142,0.004271437
599,0.13740326,0.0039214483
600,-0.2963088,0.0037833543
601,-0.035052,0.0034776744
602,0.37380162,0.0041091386
603,0.13223447,0.0034116746
604,-0.28397992,0.0037540926
605,-0.027940966,0.0036426375
606,0.37718794,0.004244485
607,0.13316005,0.0038907246
608,-0.31524986,0.0040060147
609,-0.22152519,0.005260408
610,0.25678462,0.0049144654
611,0.060487255,0.004015115
612,-0.32640073,0.003926893
613,-0.052873388,0.0035736635
614,0.36136723,0.00467436
615,0.12361074,0.003991309
616,-0.30838275,0.0040407404
617,-0.04478755,0.0035789623
618,0.3652132,0.0041723256
619,0.12479668,0.0034458195
620,-0.35068783,0.0037680056
621,-0.25104868,0.005320356
622,0.24010572,0.00477307
623,0.052269775,0.0037123915
624,-0.3733271,0.0041833743
625,-0.25850537,0.005805794
626,0.23665224,0.004976977
627,0.053177588,0.004036176
628,-0.38236818,0.004038249
629,-0.26885602,0.0057579256
630,0.2348248,0.0047257524
631,0.0548396,0.0039784918
632,-0.33805302,0.0038697147
633,-0.053091455,0.0036196397
634,0.36854932,0.004320719
635,0.13391338,0.0035080707
636,-0.27312437,0.003684706
637,-0.0152563965,0.0034967829
638,0.39091894,0.0042288643
639,0.14697178,0.003960467
640,-0.2728165,0.0039445893
641,-0.020552734,0.0035801877
642,0.38465065,0.0042697494
643,0.14342412,0.0036448464
644,-0.28305468,0.0040682717
645,-0.023416748,0.003796728
646,0.38330176,0.0040220725
647,0.14124033,0.0035623831
648,-0.28290436,0.0037439084
649,-0.025104932,0.0033799543
650,0.38101357,0.004254252
651,0.1382898,0.0041859127
652,-0.2945878,0.0040302253
653,-0.03374956,0.0036500695
654,0.3749401,0.0041258065
655,0.13331474,0.0035543554
656,-0.28327045,0.0038027037
657,-0.027165381,0.0034277064
658,0.37781626,0.004226599
659,0.13380718,0.0034841634
660,-0.31518632,0.003963628
661,-0.22068189,0.0059534726
662,0.25646752,0.004813821
663,0.06104009,0.0036835342
664,-0.32719898,0.00400611
665,-0.05292119,0.0037799806
666,0.36169112,0.0043543307
667,0.12372466,0.003724096
668,-0.30962223,0.003931144
